video_id,frame_no,parsed_json,schema_conformant,node_tp,node_fp,node_fn,node_precision,node_recall,node_f1,edge_tp,edge_fp,edge_fn,edge_precision,edge_recall,edge_f1,box_mean_iou,box_median_iou,box_std_iou,box_min_iou,box_max_iou,box_match_count,box_iou@0.5_coverage,box_iou@0.75_coverage,composite_hits_gt,composite_hits_pred,composite_fn_explained_pct,composite_fp_explained_pct,composite_adj_recall,gen_wall_time_s
Nbl97Bp3Kzw,27,1,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,1,0.0,0.0,0.0,0.375,0.375,0.0,0.375,0.375,1,0.0,0.0,0,0,0.0,0.0,0.5,4.775046
Nbl97Bp3Kzw,57,1,1,2,2,2,0.5,0.5,0.5,0,4,4,0.0,0.0,0.0,0.7289999723434448,0.7289999723434448,0.17099997401237488,0.5580000281333923,0.8999999761581421,2,1.0,0.5,0,0,0.0,0.0,0.5,17.642068
Nbl97Bp3Kzw,130,1,1,3,7,8,0.3,0.2727272727272727,0.28571428571428564,1,6,15,0.14285714285714285,0.0625,0.08695652173913043,0.7726495862007141,0.800000011920929,0.0386793427169323,0.7179487347602844,0.800000011920929,3,1.0,0.6666666666666666,0,0,0.0,0.0,0.2727272727272727,39.744848
Nbl97Bp3Kzw,156,1,1,5,0,4,1.0,0.5555555555555556,0.7142857142857143,4,1,4,0.8,0.5,0.6153846153846154,0.5311378240585327,0.4000000059604645,0.20461997389793396,0.3214285671710968,0.8333333134651184,5,0.4,0.2,0,0,0.0,0.0,0.5555555555555556,21.916737
TFJ6oR89Vb8,55,1,1,5,0,0,1.0,1.0,1.0,2,2,2,0.5,0.5,0.5,0.6544098854064941,0.625,0.23423495888710022,0.3076923191547394,1.0,5,0.8,0.4,0,0,0.0,0.0,1.0,20.568794
TFJ6oR89Vb8,91,1,1,4,1,1,0.8,0.8,0.8000000000000002,0,4,5,0.0,0.0,0.0,0.642379641532898,0.6029411554336548,0.2397366762161255,0.3636363744735718,1.0,4,0.75,0.25,0,0,0.0,0.0,0.8,21.042964
TFJ6oR89Vb8,95,1,1,3,1,1,0.75,0.75,0.75,1,3,3,0.25,0.25,0.25,0.8055555820465088,0.75,0.14163942635059357,0.6666666865348816,1.0,3,1.0,0.6666666666666666,0,0,0.0,0.0,0.75,17.928459
TFJ6oR89Vb8,125,1,1,6,0,1,1.0,0.8571428571428571,0.923076923076923,3,2,2,0.6,0.6,0.6,0.6793608665466309,0.5626267790794373,0.23078615963459015,0.43478259444236755,1.0,6,0.8333333333333334,0.3333333333333333,0,0,0.0,0.0,0.8571428571428571,24.661375
VcIF3HOI9wI,37,1,1,5,0,1,1.0,0.8333333333333334,0.9090909090909091,3,2,2,0.6,0.6,0.6,0.6813327074050903,0.5714285969734192,0.1854730248451233,0.47058823704719543,0.9090909361839294,5,0.8,0.4,0,0,0.0,0.0,0.8333333333333334,21.713388
VcIF3HOI9wI,185,1,1,6,2,4,0.75,0.6,0.6666666666666665,1,7,9,0.125,0.1,0.11111111111111112,0.531782329082489,0.4388105273246765,0.21546873450279236,0.37735849618911743,1.0,6,0.3333333333333333,0.16666666666666666,0,0,0.0,0.0,0.6,33.449451
VcIF3HOI9wI,255,1,1,6,4,0,0.6,1.0,0.7499999999999999,1,6,3,0.14285714285714285,0.25,0.18181818181818182,0.7123473286628723,0.7083333730697632,0.17453694343566895,0.4285714328289032,1.0,6,0.8333333333333334,0.5,0,0,0.0,0.0,1.0,39.49661
VcIF3HOI9wI,276,1,1,4,5,3,0.4444444444444444,0.5714285714285714,0.5,0,7,6,0.0,0.0,0.0,0.732029139995575,0.7448276281356812,0.1342555284500122,0.5384615659713745,0.8999999761581421,4,1.0,0.5,0,0,0.0,0.0,0.5714285714285714,36.35437
XsALTvYUTI8,27,1,1,2,1,0,0.6666666666666666,1.0,0.8,0,2,1,0.0,0.0,0.0,0.7744082808494568,0.7744082808494568,0.024408280849456787,0.75,0.7988165616989136,2,1.0,1.0,0,0,0.0,0.0,1.0,12.681215
XsALTvYUTI8,105,1,1,4,1,1,0.8,0.8,0.8000000000000002,1,3,3,0.25,0.25,0.25,0.7047368884086609,0.7430253028869629,0.08740105479955673,0.5555555820465088,0.777341365814209,4,1.0,0.5,0,0,0.0,0.0,0.8,20.766523
XsALTvYUTI8,122,1,1,3,2,1,0.6,0.75,0.6666666666666665,0,4,4,0.0,0.0,0.0,0.6447332501411438,0.6610169410705566,0.05443693697452545,0.5714285969734192,0.7017543911933899,3,1.0,0.0,0,0,0.0,0.0,0.75,21.114414
XsALTvYUTI8,135,1,1,3,0,1,1.0,0.75,0.8571428571428571,0,2,4,0.0,0.0,0.0,0.8092105388641357,0.875,0.18846896290779114,0.5526315569877625,1.0,3,1.0,0.6666666666666666,0,0,0.0,0.0,0.75,12.790874
YMcabXHzylg,33,1,1,3,1,1,0.75,0.75,0.75,1,3,3,0.25,0.25,0.25,0.6410526037216187,0.6631578803062439,0.22100751101970673,0.36000001430511475,0.8999999761581421,3,0.6666666666666666,0.3333333333333333,0,0,0.0,0.0,0.75,16.817586
YMcabXHzylg,69,1,1,3,0,0,1.0,1.0,1.0,1,1,1,0.5,0.5,0.5,0.625,0.699999988079071,0.18142950534820557,0.375,0.800000011920929,3,0.6666666666666666,0.3333333333333333,0,0,0.0,0.0,1.0,12.393656
YMcabXHzylg,102,1,1,3,1,0,0.75,1.0,0.8571428571428571,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7629629969596863,0.8888888955116272,0.18599821627140045,0.5,0.8999999761581421,3,1.0,0.6666666666666666,0,0,0.0,0.0,1.0,16.295974
YMcabXHzylg,308,1,1,3,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0,0.4964805543422699,0.390625,0.21696163713932037,0.30000001192092896,0.7988165616989136,3,0.3333333333333333,0.3333333333333333,0,0,0.0,0.0,1.0,11.992825
YSes0R7EksY,206,1,1,7,7,17,0.5,0.2916666666666667,0.3684210526315789,1,6,20,0.14285714285714285,0.047619047619047616,0.07142857142857142,0.5545253157615662,0.5,0.16689907014369965,0.3199999928474426,0.8333333134651184,7,0.7142857142857143,0.2857142857142857,0,0,0.0,0.0,0.2916666666666667,51.885857
YSes0R7EksY,306,1,1,3,1,1,0.75,0.75,0.75,1,4,3,0.2,0.25,0.22222222222222224,0.7516339421272278,0.6666666865348816,0.17851632833480835,0.5882353186607361,1.0,3,1.0,0.3333333333333333,0,0,0.0,0.0,0.75,19.274186
YSes0R7EksY,368,1,1,6,7,7,0.46153846153846156,0.46153846153846156,0.46153846153846156,2,7,12,0.2222222222222222,0.14285714285714285,0.17391304347826086,0.6001670956611633,0.6000000238418579,0.214147686958313,0.3333333432674408,1.0,6,0.6666666666666666,0.16666666666666666,1,0,14.285714285714285,0.0,0.5384615384615384,50.366885
YSes0R7EksY,430,1,1,9,8,5,0.5294117647058824,0.6428571428571429,0.5806451612903226,2,13,12,0.13333333333333333,0.14285714285714285,0.1379310344827586,0.49763572216033936,0.5,0.1719604879617691,0.30000001192092896,0.75,9,0.5555555555555556,0.1111111111111111,0,0,0.0,0.0,0.6428571428571429,69.036474
Zi0Ou5dfsWs,25,1,1,2,1,0,0.6666666666666666,1.0,0.8,1,1,0,0.5,1.0,0.6666666666666666,0.78125,0.78125,0.21875,0.5625,1.0,2,1.0,0.5,0,0,0.0,0.0,1.0,12.546593
Zi0Ou5dfsWs,389,1,1,4,2,1,0.6666666666666666,0.8,0.7272727272727272,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6047268509864807,0.6142156720161438,0.18846099078655243,0.3333333432674408,0.8571428656578064,4,0.75,0.25,0,0,0.0,0.0,0.8,27.451997
Zi0Ou5dfsWs,418,1,1,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307692,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4731738567352295,0.5384615659713745,0.11849870532751083,0.30000001192092896,0.5945945978164673,5,0.6,0.0,0,0,0.0,0.0,0.7142857142857143,26.117193
Zi0Ou5dfsWs,423,1,1,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,2,4,3,0.3333333333333333,0.4,0.3636363636363636,0.5929583311080933,0.6093117594718933,0.15293528139591217,0.3333333432674408,0.7870370149612427,5,0.8,0.2,0,0,0.0,0.0,0.8333333333333334,30.856221
coYqrXsDPdU,24,1,1,2,1,0,0.6666666666666666,1.0,0.8,1,1,0,0.5,1.0,0.6666666666666666,0.6000000238418579,0.6000000238418579,0.12000001966953278,0.47999998927116394,0.7200000286102295,2,0.5,0.0,0,0,0.0,0.0,1.0,12.510264
coYqrXsDPdU,99,1,1,4,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,0.6834368705749512,0.6857143044471741,0.23951086401939392,0.36231884360313416,1.0,4,0.75,0.5,0,0,0.0,0.0,1.0,16.468022
coYqrXsDPdU,118,1,1,2,1,0,0.6666666666666666,1.0,0.8,0,2,1,0.0,0.0,0.0,0.6817821860313416,0.6817821860313416,0.03821784257888794,0.6435643434524536,0.7200000286102295,2,1.0,0.0,0,0,0.0,0.0,1.0,12.298345
coYqrXsDPdU,257,1,1,3,0,1,1.0,0.75,0.8571428571428571,1,1,3,0.5,0.25,0.3333333333333333,0.7873974442481995,0.7964780330657959,0.17741262912750244,0.5657142996788025,1.0,3,1.0,0.6666666666666666,0,0,0.0,0.0,0.75,12.085605
hXkepSgN_zo,1,1,1,0,6,10,0.0,0.0,0.0,0,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,27.50735
hXkepSgN_zo,59,1,1,3,1,0,0.75,1.0,0.8571428571428571,0,3,2,0.0,0.0,0.0,0.5321475863456726,0.41310933232307434,0.21452325582504272,0.3499999940395355,0.8333333134651184,3,0.3333333333333333,0.3333333333333333,0,0,0.0,0.0,1.0,16.228052
hXkepSgN_zo,186,1,1,2,2,1,0.5,0.6666666666666666,0.5714285714285715,1,2,1,0.3333333333333333,0.5,0.4,0.5979338884353638,0.5979338884353638,0.10206611454486847,0.4958677589893341,0.699999988079071,2,0.5,0.0,0,0,0.0,0.0,0.6666666666666666,16.456851
hXkepSgN_zo,197,1,1,2,2,0,0.5,1.0,0.6666666666666666,0,3,1,0.0,0.0,0.0,0.8258007764816284,0.8258007764816284,0.17419922351837158,0.6516015529632568,1.0,2,1.0,0.5,0,0,0.0,0.0,1.0,16.823615
n2Tq29hTKgM,86,1,1,3,0,1,1.0,0.75,0.8571428571428571,2,0,2,1.0,0.5,0.6666666666666666,0.638252854347229,0.782608687877655,0.21571215987205505,0.3333333432674408,0.7988165616989136,3,0.6666666666666666,0.6666666666666666,0,0,0.0,0.0,0.75,12.580667
n2Tq29hTKgM,282,1,1,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,2,5,4,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.6334699392318726,0.6753042936325073,0.13332879543304443,0.4545454680919647,0.7875000238418579,5,0.8,0.4,0,0,0.0,0.0,0.8333333333333334,29.921171
n2Tq29hTKgM,323,1,1,5,1,0,0.8333333333333334,1.0,0.9090909090909091,2,3,3,0.4,0.4,0.4000000000000001,0.5658736228942871,0.49295774102211,0.1837705820798874,0.4000000059604645,0.9230769276618958,5,0.4,0.2,0,0,0.0,0.0,1.0,24.198621
n2Tq29hTKgM,525,1,1,5,3,3,0.625,0.625,0.625,0,7,8,0.0,0.0,0.0,0.43467870354652405,0.4000000059604645,0.0671379566192627,0.35247814655303955,0.5274725556373596,5,0.4,0.0,0,1,0.0,33.33333333333333,0.625,32.885752
oP6PR4KfH0A,29,1,1,4,2,0,0.6666666666666666,1.0,0.8,4,2,1,0.6666666666666666,0.8,0.7272727272727272,0.5891903638839722,0.526206910610199,0.26428189873695374,0.30434781312942505,1.0,4,0.5,0.25,0,0,0.0,0.0,1.0,25.539159
oP6PR4KfH0A,30,1,1,4,1,1,0.8,0.8,0.8000000000000002,3,1,2,0.75,0.6,0.6666666666666665,0.7138392925262451,0.7151786088943481,0.08028147369623184,0.625,0.800000011920929,4,1.0,0.5,0,0,0.0,0.0,0.8,20.497068
oP6PR4KfH0A,72,1,1,5,2,0,0.7142857142857143,1.0,0.8333333333333333,0,6,5,0.0,0.0,0.0,0.6817460060119629,0.6666666865348816,0.19806954264640808,0.4285714328289032,1.0,5,0.8,0.4,0,0,0.0,0.0,1.0,27.858161
oP6PR4KfH0A,392,1,1,4,1,1,0.8,0.8,0.8000000000000002,1,3,4,0.25,0.2,0.22222222222222224,0.6263513565063477,0.550000011920929,0.22643403708934784,0.4054054021835327,1.0,4,0.75,0.25,0,0,0.0,0.0,0.8,20.28948
pluBtIfxUvE,128,1,1,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,2,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,0,0,0.0,0.0,0.3333333333333333,12.811505
pluBtIfxUvE,153,1,1,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,1,0.5,0.5,0.5,0.6142857074737549,0.6142857074737549,0.18571428954601288,0.4285714328289032,0.800000011920929,2,0.5,0.5,0,0,0.0,0.0,0.6666666666666666,12.273563
pluBtIfxUvE,180,1,1,3,2,1,0.6,0.75,0.6666666666666665,2,2,3,0.5,0.4,0.4444444444444445,0.5880952477455139,0.550000011920929,0.09153515845537186,0.5,0.7142857313156128,3,1.0,0.0,0,0,0.0,0.0,0.75,20.516663
pluBtIfxUvE,194,1,1,5,0,1,1.0,0.8333333333333334,0.9090909090909091,4,1,1,0.8,0.8,0.8000000000000002,0.6839736104011536,0.6629834175109863,0.17085163295269012,0.530153214931488,1.0,5,1.0,0.2,0,0,0.0,0.0,0.8333333333333334,21.977357
usexIHfWXK8,68,1,1,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,3,3,0.4,0.4,0.4000000000000001,0.6252777576446533,0.5555555820465088,0.243432879447937,0.3333333432674408,1.0,5,0.6,0.4,0,0,0.0,0.0,0.8333333333333334,25.005781
usexIHfWXK8,95,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.024004
usexIHfWXK8,111,1,1,5,0,0,1.0,1.0,1.0,3,1,2,0.75,0.6,0.6666666666666665,0.6771379113197327,0.7317073345184326,0.17146959900856018,0.3539822995662689,0.8333333134651184,5,0.8,0.4,0,0,0.0,0.0,1.0,21.109028
usexIHfWXK8,135,1,1,6,0,2,1.0,0.75,0.8571428571428571,5,1,3,0.8333333333333334,0.625,0.7142857142857143,0.6357393860816956,0.6174914836883545,0.09014584124088287,0.5384615659713745,0.7949790954589844,6,1.0,0.16666666666666666,0,0,0.0,0.0,0.75,26.133188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY,MICRO,,,,,,0.6871880199667221,0.6608,0.6737357259380099,,,,0.2938856015779093,0.27140255009107467,0.2821969696969697,0.6144745630588716,0.6000000238418579,,,,,0.6997578692493946,0.28329297820823246,2,2,0.9433962264150944,1.0638297872340425,0.664,
SUMMARY,MACRO,,,,,,0.6947397137176549,0.702042513042513,0.6864207720974619,,,,0.3134523809523809,0.3129724025974026,0.30286921979524317,0.6225063540433583,0.6142156720161438,,,,,0.7019256474519632,0.3053550543024227,,,,,,
